,Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Years To Unicorn,Funding_num,Valuation_num
22,Genki Forest,$15B,2020-03-01,Consumer & retail,Beijing,China,Asia,2016,$721M,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",4,7210000.0,1500000000.0
23,goPuff,$15B,2020-10-08,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,$3B,"Accel, Softbank Group, Anthos Capital",7,300000000.0,1500000000.0
24,Blockchain.com,$14B,2021-02-17,Fintech,London,United Kingdom,Europe,2011,$490M,"Lightspeed Venture Partners, Google Ventures, Lakestar",10,4900000.0,1400000000.0
25,Plaid,$13B,2018-12-11,Fintech,San Francisco,United States,North America,2012,$734M,"New Enterprise Associates, Spar Capital, Index Ventures",6,7340000.0,1300000000.0
26,Devoted Health,$13B,2018-10-16,Health,Waltham,United States,North America,2017,$2B,"Andreessen Horowitz, F-Prime Capital, Venrock",1,200000000.0,1300000000.0
27,OpenSea,$13B,2021-07-20,E-commerce & direct-to-consumer,New York,United States,North America,2017,$427M,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",4,4270000.0,1300000000.0
28,Grammarly,$13B,2019-10-10,Internet software & services,San Francisco,United States,North America,2009,$400M,"General Catalyst, Institutional Venture Partners, Breyer Capital",10,4000000.0,1300000000.0
29,Argo AI,$12B,2019-07-12,Artificial intelligence,Pittsburgh,United States,North America,2016,$4B,"Volkswagen Group, Ford Autonomous Vehicles",3,400000000.0,1200000000.0
30,Northvolt,$12B,2019-06-12,Other,Stockholm,Sweden,Europe,2016,$4B,"Vattenfall, Volkswagen Group, Goldman Sachs",3,400000000.0,1200000000.0
31,Faire,$12B,2019-10-30,Artificial intelligence,San Francisco,United States,North America,2017,$1B,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",2,100000000.0,1200000000.0
32,Airtable,$12B,2018-11-15,Internet software & services,San Francisco,United States,North America,2013,$1B,"Caffeinated Capital, CRV, Founder Collective",5,100000000.0,1200000000.0
33,Brex,$12B,2018-10-05,Fintech,San Francisco,United States,North America,2017,$1B,"DST Global, Ribbit Capital, Greenoaks Capital Management",1,100000000.0,1200000000.0
34,Getir,$12B,2021-03-26,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2015,$2B,"Tiger Global Management, Sequoia Capital, Revo Capital",6,200000000.0,1200000000.0
35,Biosplice Therapeutics,$12B,2018-08-06,Health,San Diego,United States,North America,2008,$799M,"Vickers Venture Partners, IKEA GreenTech",10,7990000.0,1200000000.0
36,Bitmain,$12B,2018-07-06,Hardware,Beijing,China,Asia,2015,$765M,"Coatue Management, Sequoia Capital China, IDG Capital",3,7650000.0,1200000000.0
37,GoodLeap,$12B,2021-10-13,Internet software & services,Roseville,United States,North America,2003,$800M,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",18,8000000.0,1200000000.0
38,Xingsheng Selected,$12B,2020-07-22,E-commerce & direct-to-consumer,Changsha,China,Asia,2009,$5B,"KKR, Tencent Holdings, Sequoia Capital China",11,500000000.0,1200000000.0
39,ZongMu Technology,$11B,2021-06-03,Auto & transportation,Shanghai,China,Asia,2013,$376M,"LTW Capital, Legend Capital, Qualcomm Ventures",8,3760000.0,1100000000.0
40,Bolt,$11B,2018-05-29,Auto & transportation,Tallinn,Estonia,Europe,2013,$1B,"Didi Chuxing, Diamler, TMT Investments",5,100000000.0,1100000000.0
41,Swiggy,$11B,2018-06-21,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2014,$5B,"Accel India, SAIF Partners, Norwest Venture Partners",4,500000000.0,1100000000.0
42,Weilong Foods,$11B,2021-05-08,Consumer & retail,Luohe,China,Asia,1999,$558M,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital",22,5580000.0,1100000000.0
43,Global Switch,$11B,2016-12-22,Hardware,London,United Kingdom,Europe,1998,$5B,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",18,500000000.0,1100000000.0
45,Celonis,$11B,2018-06-26,Data management & analytics,Munich,Germany,Europe,2011,$1B,"Accel, 83North",7,100000000.0,1100000000.0
46,Zuoyebang,$10B,2018-07-18,Edtech,Beijing,China,Asia,2014,$3B,"Sequoia Capital China, Xiang He Capital, GGV Capital",4,300000000.0,1000000000.0
47,Ripple,$10B,2019-12-20,Fintech,San Francisco,United States,North America,2012,$294M,"IDG Capital, Venture51, Lightspeed Venture Partners",7,2940000.0,1000000000.0
48,OYO Rooms,$10B,2018-09-25,Travel,Gurugram,India,Asia,2012,$3B,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",6,300000000.0,1000000000.0
49,OutSystems,$10B,2018-06-05,Internet software & services,Boston,United States,North America,2001,$572M,"KKR, ES Ventures, North Bridge Growth Equity",17,5720000.0,1000000000.0
50,ServiceTitan,$10B,2018-11-14,Internet software & services,Glendale,United States,North America,2012,$1B,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",6,100000000.0,1000000000.0
51,Alchemy,$10B,2021-10-28,Fintech,San Francisco,United States,North America,2017,$564M,"DFJ Growth Fund, Coatue Management, Addition",4,5640000.0,1000000000.0
52,Chehaoduo,$10B,2016-03-12,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,$4B,"Sequoia Capital China, GX Capital",1,400000000.0,1000000000.0
53,Digital Currency Group,$10B,2021-11-01,Fintech,New York,United States,North America,2015,$1B,"Ribbit Capital, capitalG, Softbank Group",6,100000000.0,1000000000.0
54,Figma,$10B,2020-04-30,Internet software & services,San Francisco,United States,North America,2012,$333M,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",8,3330000.0,1000000000.0
55,Gusto,$10B,2015-12-18,Fintech,San Francisco,United States,North America,2011,$691M,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",4,6910000.0,1000000000.0
56,Lalamove,$10B,2019-02-21,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2013,$2B,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",6,200000000.0,1000000000.0
57,Notion Labs,$10B,2020-04-01,Internet software & services,San Francisco,United States,North America,2016,$343M,"Index Ventures, Draft Ventures, Felicis Ventures",4,3430000.0,1000000000.0
58,reddit,$10B,2017-07-31,Internet software & services,San Francisco,United States,North America,2005,$1B,"Y Combinator, Sequoia Capital, Coatue Management",12,100000000.0,1000000000.0
59,Talkdesk,$10B,2018-10-03,Internet software & services,San Francisco,United States,North America,2011,$497M,"DJF, Salesforce Ventures, Storm Ventures",7,4970000.0,1000000000.0
60,Thrasio,$10B,2020-07-15,Other,Walpole,United States,North America,2018,$2B,"Upper90, RiverPark Ventures, Advent International",2,200000000.0,1000000000.0
61,Dunamu,$9B,2021-07-22,Fintech,Seoul,South Korea,Asia,2012,$71M,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities",9,710000.0,900000000.0
62,Yanolja,$9B,2019-06-10,Travel,Seoul,South Korea,Asia,2005,$2B,"SBI Investment Korea, Partners Investment, GIC",14,200000000.0,900000000.0
63,Pony.ai,$9B,2018-07-11,Artificial intelligence,Fremont,United States,North America,2016,$1B,"Sequoia Capital China, IDG Capital, DCM Ventures",2,100000000.0,900000000.0
64,Nuro,$9B,2019-02-11,Auto & transportation,Mountain View,United States,North America,2016,$2B,"SoftBank Group, Greylock Partners, Gaorong Capital",3,200000000.0,900000000.0
65,Snyk,$9B,2020-01-21,Cybersecurity,Boston,United States,North America,2015,$1B,"BOLDstart Ventures, Google Ventures, Accel",5,100000000.0,900000000.0
66,Kavak,$9B,2020-10-01,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2016,$2B,"DST Global, SoftBank Group, Mountain Nazca",4,200000000.0,900000000.0
67,N26,$9B,2019-01-10,Fintech,Berlin,Germany,Europe,2013,$2B,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",6,200000000.0,900000000.0
68,Klaviyo,$9B,2020-11-17,Internet software & services,Boston,United States,North America,2012,$679M,"Summit Partners, Accel, Astral Capital",8,6790000.0,900000000.0
69,Niantic,$9B,2017-11-24,Mobile & telecommunications,San Francisco,United States,North America,2015,$770M,"Nintendo, Google, Pokemon Company International, Spark Capital",2,7700000.0,900000000.0
70,Tanium,$9B,2015-03-31,Cybersecurity,Kirkland,United States,North America,2007,$775M,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",8,7750000.0,900000000.0
71,Dream11,$8B,2019-04-09,Internet software & services,Mumbai,India,Asia,2007,$2B,"Kaalari Capital, Tencent Holdings, Steadview Capital",12,200000000.0,800000000.0
72,DJI Innovations,$8B,2015-01-23,Hardware,Shenzhen,China,Asia,2006,$105M,"Accel Partners, Sequoia Capital",9,1050000.0,800000000.0
73,Netskope,$8B,2018-11-13,Cybersecurity,Santa Clara,United States,North America,2012,$1B,"Lightspeed Venture Partners, Social Capital, Accel",6,100000000.0,800000000.0
74,Razorpay,$8B,2020-10-11,Fintech,Bengaluru,India,Asia,2013,$742M,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",7,7420000.0,800000000.0
75,Dapper Labs,$8B,2021-03-30,Fintech,Vancouver,Canada,North America,2018,$607M,"Union Square Ventures, Venrock, Andreessen Horowitz",3,6070000.0,800000000.0
76,Lacework,$8B,2021-01-07,Cybersecurity,San Jose,United States,North America,2015,$2B,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",6,200000000.0,800000000.0
77,Tipalti,$8B,2020-10-06,Fintech,San Mateo,United States,North America,2010,$549M,"01 Advisors, Zeev Ventures, Group 11",10,5490000.0,800000000.0
78,Hopin,$8B,2020-11-10,Internet software & services,London,United Kingdom,Europe,2019,$1B,"Accel, Northzone Ventures, Institutional Venture Partners",1,100000000.0,800000000.0
79,Caris Life Sciences,$8B,2021-05-12,Health,Irving,United States,North America,1996,$1B,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",25,100000000.0,800000000.0
80,Ramp,$8B,2021-03-29,Fintech,New York,United States,North America,2019,$660M,"D1 Capital Partners, Stripe, Coatue Management",2,6600000.0,800000000.0
81,Tempus,$8B,2018-03-21,Health,Chicago,United States,North America,2015,$820M,"New Enterprise Associates, T. Rowe Associates, Lightbank",3,8200000.0,800000000.0
82,Fireblocks,$8B,2021-07-27,Fintech,New York,United States,North America,2018,$1B,"Tenaya Capital, Coatue Management, Stripes Group",3,100000000.0,800000000.0
83,Flexport,$8B,2018-04-30,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,$2B,"Bloomberg Beta, Founders Fund, First Round Capital",5,200000000.0,800000000.0
84,National Stock Exchange of India,$7B,2020-07-01,Fintech,Mumbai,India,Asia,1998,$297M,"TA Associates, SoftBank Group, GS Growth",22,2970000.0,700000000.0
85,Meicai,$7B,2016-06-22,Mobile & telecommunications,Beijing,China,Asia,2014,$1B,"Tiger Global Management, Blue Lake Capital, ZhenFund",2,100000000.0,700000000.0
86,Impossible Foods,$7B,2019-05-13,Consumer & retail,Redwood City,United States,North America,2011,$2B,"Khosla Ventures, Horizons Ventures, Temasek Holdings",8,200000000.0,700000000.0
87,CRED,$7B,2021-04-06,Fintech,Bengaluru,India,Asia,2018,$922M,"Tiger Global Management, DST Global, Sequoia Capital India",3,9220000.0,700000000.0
88,Attentive,$7B,2020-09-23,Mobile & telecommunications,Hoboken,United States,North America,2016,$863M,"NextView Ventures, Eniac Ventures, Sequoia Capital",4,8630000.0,700000000.0
89,Ola Cabs,$7B,2014-10-27,Auto & transportation,Bengaluru,India,Asia,2010,$4B,"Accel Partners, SoftBank Group, Sequoia Capital",4,400000000.0,700000000.0
90,Rippling,$7B,2020-08-04,Internet software & services,San Francisco,United States,North America,2017,$447M,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",3,4470000.0,700000000.0
91,Carta,$7B,2019-05-06,Fintech,San Francisco,United States,North America,2012,$1B,"Menlo Ventures, Spark Capital, Union Square Ventures",7,100000000.0,700000000.0
92,Toss,$7B,2018-12-09,Fintech,Seoul,South Korea,Asia,2013,$844M,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers",5,8440000.0,700000000.0
93,Ziroom,$7B,2018-01-17,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,$2B,"Sequoia Capital China, Warburg Pincus, General Catalyst",7,200000000.0,700000000.0
94,Scale AI,$7B,2019-08-05,Artificial intelligence,San Francisco,United States,North America,2018,$603M,"Accel, Y Combinator, Index Ventures",1,6030000.0,700000000.0
95,Gong,$7B,2020-08-12,Artificial intelligence,Palo Alto,United States,North America,2015,$583M,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",5,5830000.0,700000000.0
96,TripActions,$7B,2018-11-08,Travel,Palo Alto,United States,North America,2015,$912M,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",3,9120000.0,700000000.0
97,1Password,$7B,2021-07-08,Cybersecurity,Toronto,Canada,North America,2005,$920M,"Slack Fund, Accel, Skip Capital",16,9200000.0,700000000.0
98,Automation Anywhere,$7B,2018-07-02,Artificial intelligence,San Jose,United States,North America,2003,$849M,"General Atlantic, Goldman Sachs, New Enterprise Associates",15,8490000.0,700000000.0
99,Gemini,$7B,2021-11-19,Fintech,New York,United States,North America,2015,$424M,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",6,4240000.0,700000000.0
100,ConsenSys,$7B,2021-11-17,Fintech,New York,United States,North America,2014,$660M,"Third Point, Electric Capital, Coinbase Ventures",7,6600000.0,700000000.0
101,Ro,$7B,2020-07-27,Health,New York,United States,North America,2017,$1B,"Initialized Capital, General Catalyst, SignalFire",3,100000000.0,700000000.0
102,Black Unicorn Factory,$6B,2021-05-20,Other,Los Angeles,United States,North America,2020,$645M,Barter Ventures,1,6450000.0,600000000.0
103,Easyhome,$6B,2018-02-12,Consumer & retail,Beijing,China,Asia,1999,$2B,"Alibaba Group, Boyu Capital, Borui Capital",19,200000000.0,600000000.0
104,WeDoctor,$6B,2015-09-22,Health,Hangzhou,China,Asia,2010,$1B,"Tencent, Morningside Group",5,100000000.0,600000000.0
105,SVOLT,$6B,2020-06-08,Auto & transportation,Changzhou,China,Asia,2018,$3B,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",2,300000000.0,600000000.0
106,Airwallex,$6B,2019-03-25,Fintech,Melbourne,Australia,Oceania,2015,$802M,"DST Global, Sequoia Capital China, Tencent Holdings",4,8020000.0,600000000.0
107,Deel,$6B,2021-04-21,Fintech,San Francisco,United States,North America,2018,$629M,"Andreessen Horowitz, Spark Capital, Y Combinator",3,6290000.0,600000000.0
108,Mambu,$6B,2021-01-06,Fintech,Amsterdam,Netherlands,Europe,2011,$448M,"Runa Capital, Acton Capital Partners, Point Nine Capital",10,4480000.0,600000000.0
109,Mollie,$6B,2020-09-08,Fintech,Amsterdam,Netherlands,Europe,2004,$928M,Technology Crossover Ventures,16,9280000.0,600000000.0
110,Doctolib,$6B,2019-03-19,Health,Paris,France,Europe,2013,$815M,"BPI France, Kerala Ventures, Accel",6,8150000.0,600000000.0
111,FiveTran,$6B,2020-06-30,Data management & analytics,Oakland,United States,North America,2012,$728M,"Matrix Partners, Andreessen Horowitz, General Catalyst",8,7280000.0,600000000.0
112,Postman,$6B,2020-06-11,Internet software & services,San Francisco,United States,North America,2014,$433M,"Nexus Venture Partners, CRV, Insight Partners",6,4330000.0,600000000.0
113,Back Market,$6B,2021-05-18,E-commerce & direct-to-consumer,Paris,France,Europe,2014,$1B,"Aglae Ventures, Eurazeo, Daphni",7,100000000.0,600000000.0
114,Cityblock Health,$6B,2020-12-10,Health,Brooklyn,United States,North America,2017,$891M,"Thrive Capital, Maverick Ventures, Redpoint Ventures",3,8910000.0,600000000.0
115,DataRobot,$6B,2019-07-29,Artificial intelligence,Boston,United States,North America,2012,$1B,"New Enterprise Associates, Accomplice, IA Ventures",7,100000000.0,600000000.0
116,Personio,$6B,2021-01-19,Internet software & services,Munich,Germany,Europe,2015,$524M,"Global Founders Capital, Nortzone Ventures, Picus Capital",6,5240000.0,600000000.0
117,RELEX Solutions,$6B,2022-02-17,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,2005,$803M,"Blackstone, Technology Crossover Ventures, Summit Partners",17,8030000.0,600000000.0
118,Vice Media,$6B,2011-04-02,Internet software & services,Brooklyn,United States,North America,1994,$1B,"Technology Crossover Ventures, A&E Television Networks",17,100000000.0,600000000.0
119,Workato,$6B,2021-01-12,Internet software & services,Mountain View,United States,North America,2013,$415M,"Battery Ventures, Storm Ventures, Redpoint Ventures",8,4150000.0,600000000.0
120,Upgrade,$6B,2018-02-12,Fintech,San Francisco,United States,North America,2016,$587M,"Union Square Ventures, Ribbit Capital, VY Capital",2,5870000.0,600000000.0
121,Lianjia,$6B,2016-04-07,E-commerce & direct-to-consumer,Beijing,China,Asia,2001,$1B,"Tencent, Baidu, Huasheng Capital",15,100000000.0,600000000.0
122,Hinge Health,$6B,2021-01-06,Health,San Francisco,United States,North America,2015,$826M,"Atomico, Insight Partners, Coatue Management",6,8260000.0,600000000.0
123,Lyra Health,$6B,2020-08-25,Health,Burlingame,United States,North America,2015,$910M,"Greylock Partners, Venrock, Providence Ventures",5,9100000.0,600000000.0
124,Benchling,$6B,2021-04-14,Internet software & services,San Francisco,United States,North America,2012,$412M,"Thrive Capital, Benchmark, MenloVentures",9,4120000.0,600000000.0
125,Better.com,$6B,2020-11-10,Fintech,New York,United States,North America,2018,$405M,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers",2,4050000.0,600000000.0
126,iCapital Network,$6B,2021-07-27,Fintech,New York,United States,North America,2013,$729M,"BlackRock, Blackstone, UBS",8,7290000.0,600000000.0
127,Wiz,$6B,2021-03-17,Cybersecurity,Tel Aviv,Israel,Asia,2020,$600M,"Insight Partners, Sequoia Capital, Index Ventures",1,6000000.0,600000000.0
128,DailyHunt,$5B,2020-12-22,Internet software & services,Bengaluru,India,Asia,2007,$869M,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India",13,8690000.0,500000000.0
129,Howden Group Holdings,$5B,2020-09-29,Other,London,United Kingdom,Europe,1994,$187M,"General Atlantic, 3i Group, Huagai Capital",26,1870000.0,500000000.0
130,Meesho,$5B,2021-04-05,Internet software & services,Bengaluru,India,Asia,2015,$1B,"Venture Highway, Sequoia Capital India, Prosus Ventures",6,100000000.0,500000000.0
131,Meizu Technology,$5B,2014-07-23,Hardware,Zhuhai,China,Asia,2003,$943M,"Telling Telecommunication Holding Co., Alibaba Group",11,9430000.0,500000000.0
132,CloudWalk Technology,$5B,2018-10-08,Artificial intelligence,Guangzhou,China,Asia,2015,$514M,"Oriza Holdings, Guangdong Technology Financial Group",3,5140000.0,500000000.0
133,Royole Corporation,$5B,2015-08-18,Hardware,Shenzhen,China,Asia,2012,$492M,"Warmsun Holding, IDG Capital Partners",3,4920000.0,500000000.0
134,Monzo,$5B,2018-10-31,Fintech,London,United Kingdom,Europe,2015,$1B,"Passion Capital, Thrive Capital, Orange Digital Ventures",3,100000000.0,500000000.0
135,Socure,$5B,2021-03-16,Cybersecurity,New York,United States,North America,2012,$644M,"Two Sigma Ventures, Flint Capital, Commerce Ventures",9,6440000.0,500000000.0
136,VIPKid,$5B,2016-08-04,Edtech,Beijing,China,Asia,2013,$1B,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures",3,100000000.0,500000000.0
137,Vinted,$5B,2019-11-27,E-commerce & direct-to-consumer,Vilnius,Lithuania,Europe,2008,$562M,"Accel, Insight Partners, Burda Principal Investments",11,5620000.0,500000000.0
138,Lendable,$5B,2021-03-31,Fintech,London,United Kingdom,Europe,2014,$286M,"Ontario Teachers' Pension Plan, Goldman Sachs",7,2860000.0,500000000.0
139,UBTECH Robotics,$5B,2016-07-25,Hardware,Shenzhen,China,Asia,2012,$943M,"CDH Investments, Goldstone Investments, Qiming Venture Partners",4,9430000.0,500000000.0
140,Anduril,$5B,2019-09-11,Artificial intelligence,Irvine,United States,North America,2017,$691M,"Andreessen Horowitz, Founders Fund, Revolution Ventures",2,6910000.0,500000000.0
141,Checkr,$5B,2019-09-19,Internet software & services,San Francisco,United States,North America,2014,$559M,"Y Combinator, Accel, T. Rowe Price",5,5590000.0,500000000.0
142,Color,$5B,2021-01-04,Health,Burlingame,United States,North America,2013,$497M,"General Catalyst, Viking Global Investors, T. Rowe Price",8,4970000.0,500000000.0
143,Dataiku,$5B,2019-12-04,Internet software & services,New York,United States,North America,2013,$647M,"Alven Capital, FirstMark Capital, capitalG",6,6470000.0,500000000.0
144,BetterUp,$5B,2021-02-25,Internet software & services,San Francisco,United States,North America,2013,$567M,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",8,5670000.0,500000000.0
145,Pleo,$5B,2021-07-06,Fintech,Copenhagen,Denmark,Europe,2015,$428M,"Creandum, Founders, Kinnevik",6,4280000.0,500000000.0
146,Trade Republic,$5B,2021-05-20,Fintech,Berlin,Germany,Europe,2015,$996M,"Founders Fund, Accel, Creandum",6,9960000.0,500000000.0
147,Chipone,$5B,2021-12-16,Hardware,Beijing,China,Asia,2008,$1B,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment",13,100000000.0,500000000.0
148,Collibra,$5B,2019-01-29,Data management & analytics,Brussels,Belgium,Europe,2008,$596M,"Index Ventures, Battery Ventures, ICONIQ Capital",11,5960000.0,500000000.0
149,Rappi,$5B,2018-08-31,"Supply chain, logistics, & delivery",Bogota,Colombia,South America,2015,$2B,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",3,200000000.0,500000000.0
150,6Sense,$5B,2021-03-30,Artificial intelligence,San Francisco,United States,North America,2013,$426M,"Venrock, Battery Ventures, Insight Partners",8,4260000.0,500000000.0
151,Cerebral,$5B,2021-06-10,Health,San Francisco,United States,North America,2020,$462M,"Oak HC/FT Partners, Artis Ventures, WestCap Group",1,4620000.0,500000000.0
152,Creditas,$5B,2020-12-18,Fintech,Sao Paulo,Brazil,South America,2012,$824M,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital",8,8240000.0,500000000.0
153,OneTrust,$5B,2019-07-11,Internet software & services,Atlanta,United States,North America,2016,$926M,Insight Partners,3,9260000.0,500000000.0
154,QuintoAndar,$5B,2019-09-09,E-commerce & direct-to-consumer,Campinas,Brazil,South America,2012,$755M,"Kaszek Ventures, General Atlantic, SoftBank Group",7,7550000.0,500000000.0
155,C6 Bank,$5B,2020-12-02,Fintech,Sao Paulo,Brazil,South America,2018,$2B,Credit Suisse,2,200000000.0,500000000.0
156,Cockroach Labs,$5B,2021-01-12,Data management & analytics,New York,United States,North America,2015,$633M,"Google Ventures, Benchmark, FirstMark Capital",6,6330000.0,500000000.0
157,Hopper,$5B,2021-03-24,Travel,Montreal,Canada,North America,2007,$599M,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures",14,5990000.0,500000000.0
158,Icertis,$5B,2019-07-17,Artificial intelligence,Bellevue,United States,North America,2009,$371M,"Eight Roads Ventures, Greycroft, Ignition Partners",10,3710000.0,500000000.0
159,Moon Active,$5B,2020-01-26,Mobile & telecommunications,Tel Aviv,Israel,Asia,2011,$425M,"Insight Partners, Andalusian Capital Partners",9,4250000.0,500000000.0
160,OfBusiness,$5B,2021-07-31,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,$734M,"Matrix Partners India, Falcon Edge Capital, SoftBank Group",6,7340000.0,500000000.0
161,Ola Electric Mobility,$5B,2019-07-02,Auto & transportation,Bengaluru,India,Asia,2017,$761M,"SoftBank Group, Tiger Global Management, Matrix Partners India",2,7610000.0,500000000.0
162,Pine Labs,$5B,2020-01-24,Fintech,Noida,India,Asia,1998,$903M,"Sequoia Capital India, Temasek, PayPal Ventures",22,9030000.0,500000000.0
